# Cryostat OpDet X Y Z
0 76 -59.36 29.35 124.7
0 77 -381.07 29.35 124.7
0 78 -59.36 -76.25 124.7
0 79 -381.07 -76.25 124.7
0 80 -59.36 29.35 74.82
0 81 -381.07 29.35 74.82
0 82 -59.36 -76.25 74.82
0 83 -381.07 -76.25 74.82
0 84 -59.36 82.15 24.94
0 85 -381.07 82.15 24.94
0 86 -59.36 -23.45 24.94
0 87 -381.07 -23.45 24.94
0 88 -59.36 -129.05 24.94
0 89 -381.07 -129.05 24.94
0 90 -59.36 82.15 -24.94
0 91 -381.07 82.15 -24.94
0 92 -59.36 -23.45 -24.94
0 93 -381.07 -23.45 -24.94
0 94 -59.36 -129.05 -24.94
0 95 -381.07 -129.05 -24.94
0 96 -59.36 29.35 -74.82
0 97 -381.07 29.35 -74.82
0 98 -59.36 -76.25 -74.82
0 99 -381.07 -76.25 -74.82
0 100 -59.36 29.35 -124.7
0 101 -381.07 29.35 -124.7
0 102 -59.36 -76.25 -124.7
0 103 -381.07 -76.25 -124.7
0 104 -59.36 82.15 -174.58
0 105 -381.07 82.15 -174.58
0 106 -59.36 -23.45 -174.58
0 107 -381.07 -23.45 -174.58
0 108 -59.36 -129.05 -174.58
0 109 -381.07 -129.05 -174.58
0 110 -59.36 82.15 -224.46
0 111 -381.07 82.15 -224.46
0 112 -59.36 -23.45 -224.46
0 113 -381.07 -23.45 -224.46
0 114 -59.36 -129.05 -224.46
0 115 -381.07 -129.05 -224.46
0 116 -59.36 29.35 -274.34
0 117 -381.07 29.35 -274.34
0 118 -59.36 -76.25 -274.34
0 119 -381.07 -76.25 -274.34
0 120 -59.36 29.35 -324.22
0 121 -381.07 29.35 -324.22
0 122 -59.36 -76.25 -324.22
0 123 -381.07 -76.25 -324.22
0 124 -59.36 82.15 -374.1
0 125 -381.07 82.15 -374.1
0 126 -59.36 -23.45 -374.1
0 127 -381.07 -23.45 -374.1
0 128 -59.36 -129.05 -374.1
0 129 -381.07 -129.05 -374.1
0 130 -59.36 82.15 -423.98
0 131 -381.07 82.15 -423.98
0 132 -59.36 -23.45 -423.98
0 133 -381.07 -23.45 -423.98
0 134 -59.36 -129.05 -423.98
0 135 -381.07 -129.05 -423.98
0 136 -59.36 29.35 -473.86
0 137 -381.07 29.35 -473.86
0 138 -59.36 -76.25 -473.86
0 139 -381.07 -76.25 -473.86
0 140 -59.36 29.35 -523.74
0 141 -381.07 29.35 -523.74
0 142 -59.36 -76.25 -523.74
0 143 -381.07 -76.25 -523.74
0 144 -59.36 82.15 -573.62
0 145 -381.07 82.15 -573.62
0 146 -59.36 -23.45 -573.62
0 147 -381.07 -23.45 -573.62
0 148 -59.36 -129.05 -573.62
0 149 -381.07 -129.05 -573.62
0 150 -59.36 82.15 -623.5
0 151 -381.07 82.15 -623.5
0 152 -59.36 -23.45 -623.5
0 153 -381.07 -23.45 -623.5
0 154 -59.36 -129.05 -623.5
0 155 -381.07 -129.05 -623.5
0 156 -59.36 29.35 -673.38
0 157 -381.07 29.35 -673.38
0 158 -59.36 -76.25 -673.38
0 159 -381.07 -76.25 -673.38
0 160 -59.36 29.35 -723.26
0 161 -381.07 29.35 -723.26
0 162 -59.36 -76.25 -723.26
0 163 -381.07 -76.25 -723.26
0 164 -59.36 82.15 -773.14
0 165 -381.07 82.15 -773.14
0 166 -59.36 -23.45 -773.14
0 167 -381.07 -23.45 -773.14
0 168 -59.36 -129.05 -773.14
0 169 -381.07 -129.05 -773.14
0 170 -59.36 82.15 -823.02
0 171 -381.07 82.15 -823.02
0 172 -59.36 -23.45 -823.02
0 173 -381.07 -23.45 -823.02
0 174 -59.36 -129.05 -823.02
0 175 -381.07 -129.05 -823.02
0 176 -59.36 29.35 -872.9
0 177 -381.07 29.35 -872.9
0 178 -59.36 -76.25 -872.9
0 179 -381.07 -76.25 -872.9
1 0 381.07 29.35 872.9
1 1 59.36 29.35 872.9
1 2 381.07 -76.25 872.9
1 3 59.36 -76.25 872.9
1 4 381.07 82.15 823.02
1 5 59.36 82.15 823.02
1 6 381.07 -23.45 823.02
1 7 59.36 -23.45 823.02
1 8 381.07 -129.05 823.02
1 9 59.36 -129.05 823.02
1 10 381.07 82.15 773.14
1 11 59.36 82.15 773.14
1 12 381.07 -23.45 773.14
1 13 59.36 -23.45 773.14
1 14 381.07 -129.05 773.14
1 15 59.36 -129.05 773.14
1 16 381.07 29.35 723.26
1 17 59.36 29.35 723.26
1 18 381.07 -76.25 723.26
1 19 59.36 -76.25 723.26
1 20 381.07 29.35 673.38
1 21 59.36 29.35 673.38
1 22 381.07 -76.25 673.38
1 23 59.36 -76.25 673.38
1 24 381.07 82.15 623.5
1 25 59.36 82.15 623.5
1 26 381.07 -23.45 623.5
1 27 59.36 -23.45 623.5
1 28 381.07 -129.05 623.5
1 29 59.36 -129.05 623.5
1 30 381.07 82.15 573.62
1 31 59.36 82.15 573.62
1 32 381.07 -23.45 573.62
1 33 59.36 -23.45 573.62
1 34 381.07 -129.05 573.62
1 35 59.36 -129.05 573.62
1 36 381.07 29.35 523.74
1 37 59.36 29.35 523.74
1 38 381.07 -76.25 523.74
1 39 59.36 -76.25 523.74
1 40 381.07 29.35 473.86
1 41 59.36 29.35 473.86
1 42 381.07 -76.25 473.86
1 43 59.36 -76.25 473.86
1 44 381.07 82.15 423.98
1 45 59.36 82.15 423.98
1 46 381.07 -23.45 423.98
1 47 59.36 -23.45 423.98
1 48 381.07 -129.05 423.98
1 49 59.36 -129.05 423.98
1 50 381.07 82.15 374.1
1 51 59.36 82.15 374.1
1 52 381.07 -23.45 374.1
1 53 59.36 -23.45 374.1
1 54 381.07 -129.05 374.1
1 55 59.36 -129.05 374.1
1 56 381.07 29.35 324.22
1 57 59.36 29.35 324.22
1 58 381.07 -76.25 324.22
1 59 59.36 -76.25 324.22
1 60 381.07 29.35 274.34
1 61 59.36 29.35 274.34
1 62 381.07 -76.25 274.34
1 63 59.36 -76.25 274.34
1 64 381.07 82.15 224.46
1 65 59.36 82.15 224.46
1 66 381.07 -23.45 224.46
1 67 59.36 -23.45 224.46
1 68 381.07 -129.05 224.46
1 69 59.36 -129.05 224.46
1 70 381.07 82.15 174.58
1 71 59.36 82.15 174.58
1 72 381.07 -23.45 174.58
1 73 59.36 -23.45 174.58
1 74 381.07 -129.05 174.58
1 75 59.36 -129.05 174.58
1 76 381.07 29.35 124.7
1 77 59.36 29.35 124.7
1 78 381.07 -76.25 124.7
1 79 59.36 -76.25 124.7
1 80 381.07 29.35 74.82
1 81 59.36 29.35 74.82
1 82 381.07 -76.25 74.82
1 83 59.36 -76.25 74.82
1 84 381.07 82.15 24.94
1 85 59.36 82.15 24.94
1 86 381.07 -23.45 24.94
1 87 59.36 -23.45 24.94
1 88 381.07 -129.05 24.94
1 89 59.36 -129.05 24.94
1 90 381.07 82.15 -24.94
1 91 59.36 82.15 -24.94
1 92 381.07 -23.45 -24.94
1 93 59.36 -23.45 -24.94
1 94 381.07 -129.05 -24.94
1 95 59.36 -129.05 -24.94
1 96 381.07 29.35 -74.82
1 97 59.36 29.35 -74.82
1 98 381.07 -76.25 -74.82
1 99 59.36 -76.25 -74.82
1 100 381.07 29.35 -124.7
1 101 59.36 29.35 -124.7
1 102 381.07 -76.25 -124.7
1 103 59.36 -76.25 -124.7
1 104 381.07 82.15 -174.58
1 105 59.36 82.15 -174.58
1 106 381.07 -23.45 -174.58
1 107 59.36 -23.45 -174.58
1 108 381.07 -129.05 -174.58
1 109 59.36 -129.05 -174.58
1 110 381.07 82.15 -224.46
1 111 59.36 82.15 -224.46
1 112 381.07 -23.45 -224.46
1 113 59.36 -23.45 -224.46
1 114 381.07 -129.05 -224.46
1 115 59.36 -129.05 -224.46
1 116 381.07 29.35 -274.34
1 117 59.36 29.35 -274.34
1 118 381.07 -76.25 -274.34
1 119 59.36 -76.25 -274.34
1 120 381.07 29.35 -324.22
1 121 59.36 29.35 -324.22
1 122 381.07 -76.25 -324.22
1 123 59.36 -76.25 -324.22
1 124 381.07 82.15 -374.1
1 125 59.36 82.15 -374.1
1 126 381.07 -23.45 -374.1
1 127 59.36 -23.45 -374.1
1 128 381.07 -129.05 -374.1
1 129 59.36 -129.05 -374.1
1 130 381.07 82.15 -423.98
1 131 59.36 82.15 -423.98
1 132 381.07 -23.45 -423.98
1 133 59.36 -23.45 -423.98
1 134 381.07 -129.05 -423.98
1 135 59.36 -129.05 -423.98
1 136 381.07 29.35 -473.86
1 137 59.36 29.35 -473.86
1 138 381.07 -76.25 -473.86
1 139 59.36 -76.25 -473.86
1 140 381.07 29.35 -523.74
1 141 59.36 29.35 -523.74
1 142 381.07 -76.25 -523.74
1 143 59.36 -76.25 -523.74
1 144 381.07 82.15 -573.62
1 145 59.36 82.15 -573.62
1 146 381.07 -23.45 -573.62
1 147 59.36 -23.45 -573.62
1 148 381.07 -129.05 -573.62
1 149 59.36 -129.05 -573.62
1 150 381.07 82.15 -623.5
1 151 59.36 82.15 -623.5
1 152 381.07 -23.45 -623.5
1 153 59.36 -23.45 -623.5
1 154 381.07 -129.05 -623.5
1 155 59.36 -129.05 -623.5
1 156 381.07 29.35 -673.38
1 157 59.36 29.35 -673.38
1 158 381.07 -76.25 -673.38
1 159 59.36 -76.25 -673.38
1 160 381.07 29.35 -723.26
1 161 59.36 29.35 -723.26
1 162 381.07 -76.25 -723.26
1 163 59.36 -76.25 -723.26
1 164 381.07 82.15 -773.14
1 165 59.36 82.15 -773.14
1 166 381.07 -23.45 -773.14
1 167 59.36 -23.45 -773.14
1 168 381.07 -129.05 -773.14
1 169 59.36 -129.05 -773.14
1 170 381.07 82.15 -823.02
1 171 59.36 82.15 -823.02
1 172 381.07 -23.45 -823.02
1 173 59.36 -23.45 -823.02
1 174 381.07 -129.05 -823.02
1 175 59.36 -129.05 -823.02
1 176 381.07 29.35 -872.9
1 177 59.36 29.35 -872.9
1 178 381.07 -76.25 -872.9
1 179 59.36 -76.25 -872.9
